Year,Income Range,exemptions,Move,ZIP Code,City or County ID,State Tax,Local Tax,Percents,State Tax Amount,Local Tax Amount,Total Tax
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",00544,"HOLTSVILLE, SUFFOLK, NY",4.10%,4.57%,100.00%,$ 140.00,$ 156.02,$ 296.02
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01001,"AGAWAM, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01002,"AMHERST, HAMPSHIRE, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01003,"AMHERST, HAMPSHIRE, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01004,"AMHERST, HAMPSHIRE, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01005,"BARRE, WORCESTER, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01007,"BELCHERTOWN, HAMPSHIRE, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01008,"BLANDFORD, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01009,"BONDSVILLE, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01010,"BRIMFIELD, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01011,"CHESTER, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01012,"CHESTERFIELD, HAMPSHIRE, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01013,"CHICOPEE, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01014,"CHICOPEE, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01020,"CHICOPEE, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01021,"CHICOPEE, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01022,"CHICOPEE, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01026,"CUMMINGTON, HAMPSHIRE, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01027,"EASTHAMPTON, HAMPSHIRE, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01028,"EAST LONGMEADOW, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01029,"EAST OTIS, BERKSHIRE, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
2005,"
			Less than $ 20,000
		","
			1
		","
			
			N/A
			
			
		",01030,"FEEDING HILLS, HAMPDEN, MA",5.00%,0.00%,100.00%,$ 145.00,$ 0.00,$ 145.00
